country,Actual_Load,net_imports,mean_temperature_c,grid_stress_score
AT,6669.383256282937,-180.68950235907388,8.724919581631717,29.50673477541236
BE,9112.76893293379,1303.8592662385558,11.55921230832917,28.63013698630137
DE,52664.26556925935,1321.7529865684844,10.88236899899158,29.19211232235603
ES,26307.25666110376,-1103.12130670812,16.05998430741507,25.16544858145825
FR,48737.01240992794,-7486.126960025121,13.409187238990945,29.4056673910557
HR,2059.128755017788,416.222775669197,15.844824204863329,26.833514068831686
HU,4870.7816923530645,1244.6807884772722,13.032609540631077,31.827587191049716
IT,31638.149544037864,2631.5411932933166,17.434793103873243,19.87980491746508
LT,1359.9208568329718,109.25690461239869,9.137085596620908,28.856747345587397
NL,12789.195295288717,-635.0849816730488,11.478393340256758,41.18348859804538
PL,18793.9918125,-13.69207876712329,10.51335053949806,26.023116438356166
PT,5819.355095781006,1183.1143258676427,17.31929480528645,24.206406620753516
SK,2913.0160745799126,-270.44931136346196,10.145919282166766,28.478669531190057
